path,start_off,end_off,lfh_size,compressed_size,uncompressed_size,compression,file_id,subject,modality,stimulus,repetition
sub053/2drt/raw/sub053_2drt_05_shibboleth_r1_raw.h5,8749316111,8849188721,117,99872494,217771484,8,26378810,sub053,2drt,05_shibboleth,1
sub053/2drt/raw/sub053_2drt_06_rainbow_r1_raw.h5,8849188722,8990123059,114,140934224,307437152,8,26378810,sub053,2drt,06_rainbow,1
sub053/2drt/raw/sub053_2drt_07_grandfather1_r1_raw.h5,8990123060,9096355686,119,106232508,231644064,8,26378810,sub053,2drt,07_grandfather1,1
sub053/2drt/raw/sub053_2drt_08_grandfather2_r1_raw.h5,9096355687,9195848663,119,99492858,216950384,8,26378810,sub053,2drt,08_grandfather2,1
sub053/2drt/raw/sub053_2drt_09_northwind1_r1_raw.h5,9195848664,9271679125,117,75830345,165418568,8,26378810,sub053,2drt,09_northwind1,1
sub053/2drt/raw/sub053_2drt_10_northwind2_r1_raw.h5,9271679126,9375360657,117,103681415,226230272,8,26378810,sub053,2drt,10_northwind2,1
sub053/2drt/raw/sub053_2drt_11_postures_r1_raw.h5,9375360658,9499836300,115,124475528,271426404,8,26378810,sub053,2drt,11_postures,1
sub053/2drt/raw/sub053_2drt_01_vcv1_r2_raw.h5,9499836301,9657937044,111,158100633,344997692,8,26378810,sub053,2drt,01_vcv1,2
sub053/2drt/raw/sub053_2drt_02_vcv2_r2_raw.h5,9657937045,9810174209,111,152237054,332185616,8,26378810,sub053,2drt,02_vcv2,2
sub053/2drt/raw/sub053_2drt_03_vcv3_r2_raw.h5,9810174210,9962048102,111,151873782,331412816,8,26378810,sub053,2drt,03_vcv3,2
sub053/2drt/raw/sub053_2drt_04_bvt_r2_raw.h5,9962048103,10069027468,110,106979256,233433260,8,26378810,sub053,2drt,04_bvt,2
sub053/2drt/raw/sub053_2drt_05_shibboleth_r2_raw.h5,10069027469,10170273806,117,101246221,221011776,8,26378810,sub053,2drt,05_shibboleth,2
sub053/2drt/raw/sub053_2drt_06_rainbow_r2_raw.h5,10170273807,10320516630,114,150242710,328075924,8,26378810,sub053,2drt,06_rainbow,2
sub053/2drt/raw/sub053_2drt_07_grandfather1_r2_raw.h5,10320516631,10441161896,119,120645147,263354016,8,26378810,sub053,2drt,07_grandfather1,2
sub053/2drt/raw/sub053_2drt_08_grandfather2_r2_raw.h5,10441161897,10541694139,119,100532124,219464080,8,26378810,sub053,2drt,08_grandfather2,2
sub053/2drt/raw/sub053_2drt_09_northwind1_r2_raw.h5,10541694140,10617084192,117,75389936,164597468,8,26378810,sub053,2drt,09_northwind1,2
sub053/2drt/raw/sub053_2drt_10_northwind2_r2_raw.h5,10617084193,10725028046,117,107943737,235705456,8,26378810,sub053,2drt,10_northwind2,2
sub053/2drt/raw/sub053_2drt_11_postures_r2_raw.h5,10725028047,10839077727,115,114049566,248853536,8,26378810,sub053,2drt,11_postures,2
sub053/2drt/raw/sub053_2drt_12_picture1_raw.h5,10839077728,10959610085,112,120532246,263209116,8,26378810,sub053,2drt,12_picture1,
sub053/2drt/raw/sub053_2drt_13_picture2_raw.h5,10959610086,11080461895,112,120851698,264030216,8,26378810,sub053,2drt,13_picture2,
sub053/2drt/raw/sub053_2drt_14_picture3_raw.h5,11080461896,11200200412,112,119738405,261613120,8,26378810,sub053,2drt,14_picture3,
sub053/2drt/raw/sub053_2drt_15_picture4_raw.h5,11200200413,11324263559,112,124063035,271088304,8,26378810,sub053,2drt,15_picture4,
sub053/2drt/raw/sub053_2drt_16_picture5_raw.h5,11324263560,11444748187,112,120484516,263064216,8,26378810,sub053,2drt,16_picture5,
sub053/2drt/raw/sub053_2drt_17_topic1_raw.h5,11444748188,11564893820,110,120145523,262388016,8,26378810,sub053,2drt,17_topic1,
sub053/2drt/raw/sub053_2drt_18_topic2_raw.h5,11564893821,11687734055,110,122840125,268333108,8,26378810,sub053,2drt,18_topic2,
sub053/2drt/raw/sub053_2drt_19_topic3_raw.h5,11687734056,11806940320,110,119206155,260405620,8,26378810,sub053,2drt,19_topic3,
sub053/2drt/raw/sub053_2drt_20_topic4_raw.h5,11806940321,11926445950,110,119505520,261130120,8,26378810,sub053,2drt,20_topic4,
sub053/2drt/raw/sub053_2drt_21_topic5_raw.h5,11926445951,11984924946,110,58478886,127669020,8,26378810,sub053,2drt,21_topic5,
